config,effective_properties,environment,fps,logical_cpus,mean_ms,median_ms,min_ms,model,openvino,p90_ms,platform,process_cpu_per_wall,python
1thread_cpu0,"{""ENABLE_CPU_PINNING"": ""True"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""1"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",WSL2-1T-CPU0,2.636,48,379.365,378.839,374.707,resnet50-v1-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,383.527,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,0.976,3.12.3
1thread_cpu0,"{""ENABLE_CPU_PINNING"": ""True"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""1"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",WSL2-1T-CPU0,30.404,48,32.882,32.362,31.828,mobilenetv2-12,2025.2.0-19140-c01cd93e24d-releases/2025/2,33.385,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,0.968,3.12.3
