config,effective_properties,environment,fps,logical_cpus,mean_ms,median_ms,min_ms,model,openvino,p90_ms,platform,process_cpu_per_wall,python
1thread_cpu0,"{""ENABLE_CPU_PINNING"": ""True"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""1"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",Windows-OV-2025.4.1,2.787,48,358.793,358.405,357.668,resnet50-v1-12,2025.4.1-20426-82bbf0292c5-releases/2025/4,359.955,Windows-11-10.0.26100-SP0,0.998,3.12.11
1thread_cpu0,"{""ENABLE_CPU_PINNING"": ""True"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""1"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",Windows-OV-2025.4.1,32.808,48,30.473,30.459,29.997,mobilenetv2-12,2025.4.1-20426-82bbf0292c5-releases/2025/4,30.643,Windows-11-10.0.26100-SP0,0.994,3.12.11
