config,effective_properties,environment,fps,logical_cpus,mean_ms,median_ms,min_ms,model,openvino,p90_ms,platform,process_cpu_per_wall,python
1thread_cpu0,"{""ENABLE_CPU_PINNING"": ""True"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""1"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",WSL2-OV-2024.6.0,2.633,48,379.809,378.537,375.557,resnet50-v1-12,2024.6.0-17404-4c0f47d2335-releases/2024/6,384.039,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,0.975,3.12.13
1thread_cpu0,"{""ENABLE_CPU_PINNING"": ""True"", ""ENABLE_HYPER_THREADING"": ""False"", ""INFERENCE_NUM_THREADS"": ""1"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",WSL2-OV-2024.6.0,30.444,48,32.839,32.329,31.852,mobilenetv2-12,2024.6.0-17404-4c0f47d2335-releases/2024/6,32.99,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,0.965,3.12.13
